year,platform,id,globalsale
1980,2600,2600-1980,11.38
1981,2600,2600-1981,47.15
1982,2600,2600-1982,76.01
1983,2600,2600-1983,81.84
1983,NES,NES-1983,10.96
1984,NES,NES-1984,61.05
1984,2600,2600-1984,82.11
1985,NES,NES-1985,114.49
1985,2600,2600-1985,82.56
1985,PC,PC-1985,0.03
1985,DS,DS-1985,0.02
1986,NES,NES-1986,150.9
1986,2600,2600-1986,83.22
1986,PC,PC-1986,0.03
1986,DS,DS-1986,0.02
1987,NES,NES-1987,170.66
1987,2600,2600-1987,85.2
1987,PC,PC-1987,0.03
1987,DS,DS-1987,0.02
1988,NES,NES-1988,215.67
1988,2600,2600-1988,85.95
1988,GB,GB-1988,1.43
1988,PC,PC-1988,0.06
1988,DS,DS-1988,0.02
1989,NES,NES-1989,223.52
1989,GB,GB-1989,66.41
1989,2600,2600-1989,86.57
1989,PC,PC-1989,0.06
1989,DS,DS-1989,0.02
1990,NES,NES-1990,239.26
1990,GB,GB-1990,71.3
1990,SNES,SNES-1990,26.16
1990,2600,2600-1990,86.57
1990,GEN,GEN-1990,2.6
1990,PC,PC-1990,0.06
1990,DS,DS-1990,0.02
1991,NES,NES-1991,245.37
1991,GB,GB-1991,76.87
1991,SNES,SNES-1991,42.37
1991,2600,2600-1991,86.57
1991,GEN,GEN-1991,6.94
1991,PC,PC-1991,0.06
1991,DS,DS-1991,0.02
1992,NES,NES-1992,247.35
1992,GB,GB-1992,102.35
1992,SNES,SNES-1992,75.35
1992,2600,2600-1992,86.57
1992,GEN,GEN-1992,19.6
1992,PC,PC-1992,3.08
1992,GG,GG-1992,0.04
1992,DS,DS-1992,0.02
1993,NES,NES-1993,250.96
1993,GB,GB-1993,102.35
1993,SNES,SNES-1993,115.36
1993,2600,2600-1993,86.57
1993,GEN,GEN-1993,20.25
1993,PC,PC-1993,3.08
1993,SCD,SCD-1993,1.5
1993,NG,NG-1993,0.21
1993,GG,GG-1993,0.04
1993,DS,DS-1993,0.02
1994,NES,NES-1994,251.07
1994,GB,GB-1994,114.52
1994,SNES,SNES-1994,150.44
1994,2600,2600-1994,86.57
1994,GEN,GEN-1994,28.36
1994,PC,PC-1994,15.93
1994,SCD,SCD-1994,1.87
1994,PS,PS-1994,6.02
1994,SAT,SAT-1994,3.64
1994,NG,NG-1994,1.01
1994,GG,GG-1994,0.04
